Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
8.21E-08,-7.82E-05,-3.26E-06
8.21E-08,-8.90E-04,-4.32E-06
8.20E-08,-0.0017845,-1.95E-06
8.19E-08,-0.0032242,-2.20E-06
8.20E-08,-0.0041487,-2.05E-06
8.20E-08,-0.0049331,2.59E-07
8.20E-08,-0.0059703,-8.00E-07
8.20E-08,-0.0064545,2.80E-07
8.20E-08,-0.0060262,1.38E-06
8.20E-08,-0.0046041,1.63E-06
8.21E-08,-0.0029285,3.83E-06
8.24E-08,-0.0011012,4.50E-06
8.25E-08,7.54E-04,4.44E-06
8.24E-08,0.0023208,3.84E-06
8.25E-08,0.003564,2.87E-06
8.24E-08,0.0040294,2.39E-06
8.24E-08,0.0042585,1.87E-06
8.24E-08,0.0042654,1.15E-06
8.24E-08,0.0035256,-1.64E-06
8.23E-08,0.0021904,-2.65E-06
8.24E-08,7.32E-04,-3.72E-06
8.20E-08,-0.0012267,-4.47E-06
8.23E-08,-0.003471,-4.66E-06
8.22E-08,-0.0053444,-4.85E-06
8.21E-08,-0.0066323,-4.44E-06
8.21E-08,-0.0068676,-7.08E-06
8.21E-08,-0.0061252,-6.63E-06
8.24E-08,-0.0045245,-7.14E-06
8.21E-08,-0.0019206,-6.77E-06
8.20E-08,0.0012089,-5.44E-06
8.19E-08,0.0043261,-7.02E-06
8.20E-08,0.0068207,-6.98E-06
8.20E-08,0.0087459,-3.82E-06
8.18E-08,0.010299,-4.86E-06
8.19E-08,0.010655,-7.77E-06
8.19E-08,0.01011,-8.66E-06
8.20E-08,0.0090165,-1.11E-05
8.21E-08,0.0071382,-9.54E-06
8.23E-08,0.0050862,-1.13E-05
8.22E-08,0.0032033,-8.59E-06
8.22E-08,0.0015631,-8.88E-06
8.21E-08,1.72E-04,-1.11E-05
8.23E-08,-0.0010867,-1.10E-05
8.23E-08,-0.0016894,-1.06E-05
8.23E-08,-0.0020899,-1.25E-05
8.24E-08,-0.0024506,-1.42E-05
8.24E-08,-0.0026575,-1.30E-05
8.24E-08,-0.0031429,-1.48E-05
8.23E-08,-0.0036843,-1.47E-05
8.23E-08,-0.0043149,-1.36E-05
8.23E-08,-0.0045669,-1.20E-05
8.23E-08,-0.004442,-1.21E-05
8.23E-08,-0.0043416,-1.06E-05
8.23E-08,-0.0043375,-1.17E-05
8.23E-08,-0.0043689,-1.05E-05
8.23E-08,-0.004233,-9.96E-06
8.23E-08,-0.0038814,-9.31E-06
8.23E-08,-0.002975,-9.76E-06
8.23E-08,-0.0019487,-1.04E-05
8.22E-08,-0.0013872,-1.07E-05
8.22E-08,-0.0013492,-9.90E-06
8.22E-08,-0.001599,-9.12E-06
8.22E-08,-0.0017465,-6.08E-06
8.22E-08,-0.0018092,-8.27E-06
8.22E-08,-0.0019878,-6.80E-06
8.22E-08,-0.0021473,-5.76E-06
8.22E-08,-0.0027028,-7.90E-06
8.22E-08,-0.003158,-8.73E-06
8.22E-08,-0.0033986,-1.02E-05
8.22E-08,-0.0034308,-1.11E-05
8.23E-08,-0.0031047,-1.26E-05
8.22E-08,-0.002496,-1.23E-05
8.22E-08,-0.001555,-1.22E-05
8.22E-08,-4.88E-04,-1.30E-05
8.22E-08,7.53E-04,-1.30E-05
8.23E-08,0.0020121,-1.27E-05
8.23E-08,0.0024948,-1.46E-05
8.23E-08,0.0025383,-1.33E-05
8.23E-08,0.0025446,-1.32E-05
8.22E-08,0.0023802,-1.39E-05
8.23E-08,0.0019928,-1.24E-05
8.23E-08,0.0021207,-1.12E-05
8.24E-08,0.0027991,-1.17E-05
8.24E-08,0.0031204,-1.06E-05
8.24E-08,0.0029316,-9.77E-06
8.23E-08,0.002283,-9.99E-06
8.23E-08,0.0015013,-9.27E-06
8.24E-08,4.91E-04,-8.24E-06
8.24E-08,-2.26E-04,-7.96E-06
8.24E-08,-5.51E-04,-7.06E-06
8.24E-08,-0.0010114,-5.61E-06
8.25E-08,-0.0013684,-5.48E-06
8.25E-08,-0.0016654,-6.12E-06
8.25E-08,-0.001832,-5.18E-06
8.25E-08,-0.0015556,-3.96E-06
8.25E-08,-9.09E-04,-2.57E-06
8.26E-08,-1.94E-04,-1.55E-06
8.26E-08,4.73E-04,-1.46E-06
8.26E-08,0.0011856,-8.23E-07
8.26E-08,0.001797,-7.03E-07
8.26E-08,0.0023016,-2.47E-06
8.26E-08,0.0022936,-4.25E-06
8.26E-08,0.0017335,-7.40E-06
8.26E-08,0.0014477,-8.96E-06
8.26E-08,0.0011559,-8.52E-06
8.26E-08,0.0010023,-9.48E-06
8.26E-08,0.0013282,-1.03E-05
8.27E-08,0.0016136,-1.08E-05
8.27E-08,0.0020453,-1.10E-05
8.26E-08,0.0025447,-8.26E-06
8.27E-08,0.0033011,-7.95E-06
8.26E-08,0.0040895,-6.39E-06
8.26E-08,0.0043721,-7.76E-06
8.26E-08,0.0039894,-7.06E-06
8.27E-08,0.0034188,-6.21E-06
8.26E-08,0.0028275,-4.48E-06
8.25E-08,0.0020065,-5.72E-06
8.25E-08,0.0016767,-4.93E-06
8.25E-08,0.0021215,-6.24E-06
8.25E-08,0.0023395,-5.26E-06
8.26E-08,0.0016722,-4.99E-06
8.27E-08,8.00E-04,-5.22E-06
8.27E-08,4.34E-04,-6.09E-06
8.27E-08,3.63E-04,-6.10E-06
8.27E-08,4.52E-04,-3.93E-06
8.27E-08,3.45E-04,-5.41E-06
8.27E-08,-1.37E-04,-7.76E-06
8.26E-08,-6.37E-04,-6.96E-06
8.26E-08,-0.0012123,-6.85E-06
8.25E-08,-0.0014517,-7.17E-06
8.25E-08,-0.0014959,-5.64E-06
8.25E-08,-0.0018353,-6.77E-06
8.25E-08,-0.0023715,-7.52E-06
8.26E-08,-0.0027698,-7.96E-06
8.26E-08,-0.0026964,-1.06E-05
8.26E-08,-0.0026638,-1.18E-05
8.26E-08,-0.0028467,-1.07E-05
8.25E-08,-0.0037495,-1.00E-05
8.27E-08,-0.0048073,-9.48E-06
8.26E-08,-0.0048373,-9.41E-06
8.27E-08,-0.0032438,-7.72E-06
8.25E-08,-0.0011911,-8.87E-06
8.24E-08,9.02E-04,-6.93E-06
8.25E-08,0.0032484,-6.14E-06
8.27E-08,0.005475,-5.05E-06
8.25E-08,0.0070283,-3.43E-06
8.25E-08,0.0078918,-3.02E-06
8.25E-08,0.0081657,-3.25E-06
8.25E-08,0.0080009,-2.23E-06
8.27E-08,0.0066941,-3.59E-06
8.23E-08,0.0046882,-3.39E-06
8.23E-08,0.0028828,-4.48E-06
8.23E-08,0.0011829,-5.02E-06
8.23E-08,-1.77E-04,-2.01E-06
8.23E-08,-9.59E-04,-3.08E-06
8.24E-08,-0.0016401,-7.46E-07
8.24E-08,-0.0024781,-1.72E-06
8.25E-08,-0.0031612,-1.38E-06
8.25E-08,-0.0038632,6.40E-07
8.25E-08,-0.0042483,1.51E-06
8.24E-08,-0.0038559,7.39E-07
8.24E-08,-0.0032197,3.09E-06
8.25E-08,-0.0027402,4.76E-06
8.25E-08,-0.0020792,7.11E-06
8.25E-08,-0.0010765,7.02E-06
8.24E-08,-2.45E-07,8.26E-06
8.24E-08,6.97E-04,9.81E-06
8.24E-08,8.31E-04,1.05E-05
8.24E-08,8.06E-04,1.03E-05
8.24E-08,9.72E-04,1.09E-05
8.24E-08,0.001479,9.72E-06
8.24E-08,0.0016872,1.11E-05
8.23E-08,0.0011655,1.01E-05
8.23E-08,2.95E-04,8.63E-06
8.23E-08,-9.70E-04,6.09E-06
8.24E-08,-0.0024097,6.12E-06
8.24E-08,-0.0035958,4.97E-06
8.23E-08,-0.004057,6.18E-06
8.23E-08,-0.0037203,8.30E-06
8.22E-08,-0.0026795,9.45E-06
8.22E-08,-0.0014891,6.96E-06
8.23E-08,-0.0010061,5.69E-06
8.23E-08,-0.0010296,4.66E-06
8.24E-08,-5.49E-04,3.42E-06
8.25E-08,8.62E-04,5.44E-06
8.25E-08,0.0024488,6.40E-06
8.27E-08,0.0038848,8.50E-06
8.25E-08,0.0053423,9.12E-06
8.24E-08,0.0060483,8.35E-06
8.24E-08,0.0059417,1.04E-05
8.24E-08,0.0051094,1.18E-05
8.27E-08,0.0035085,1.19E-05
8.26E-08,0.0022912,9.64E-06
8.25E-08,0.0012351,1.03E-05
8.26E-08,-1.87E-04,1.16E-05
8.27E-08,-0.0020285,1.14E-05
8.30E-08,-0.0039433,1.05E-05
8.30E-08,-0.0053761,1.06E-05
8.29E-08,-0.0065958,1.08E-05
8.29E-08,-0.0065208,9.85E-06
8.29E-08,-0.0048071,1.18E-05
8.29E-08,-0.0020598,1.44E-05
8.28E-08,6.82E-04,1.32E-05
8.31E-08,0.0030228,1.29E-05
8.32E-08,0.00522,1.16E-05
8.32E-08,0.0072451,8.82E-06
8.30E-08,0.009358,1.03E-05
8.29E-08,0.010686,1.27E-05
8.29E-08,0.010302,1.39E-05
8.27E-08,0.00883,1.31E-05
8.30E-08,0.0067741,1.29E-05
8.27E-08,0.0040618,1.34E-05
8.27E-08,0.0012003,1.47E-05
8.25E-08,-0.0015514,1.39E-05
8.25E-08,-0.0038243,1.31E-05
8.25E-08,-0.0051988,1.12E-05
8.24E-08,-0.0062092,1.29E-05
8.25E-08,-0.0073956,1.27E-05
8.23E-08,-0.0082858,1.29E-05
8.21E-08,-0.0092496,1.32E-05
8.22E-08,-0.010108,1.23E-05
8.22E-08,-0.0098056,1.04E-05
8.22E-08,-0.0083686,1.40E-05
8.19E-08,-0.0060327,1.51E-05
8.21E-08,-0.0030502,1.67E-05
8.18E-08,-5.26E-05,1.58E-05
8.19E-08,0.0029648,1.39E-05
8.20E-08,0.0054248,1.24E-05
8.20E-08,0.0069618,1.10E-05
8.19E-08,0.0078848,1.37E-05
8.19E-08,0.0077223,1.29E-05
8.20E-08,0.0067535,1.43E-05
8.20E-08,0.0053516,1.23E-05
8.21E-08,0.0031486,1.31E-05
8.17E-08,5.62E-04,1.29E-05
8.21E-08,-0.0017365,1.26E-05
8.21E-08,-0.0034233,1.29E-05
8.22E-08,-0.0043778,1.39E-05
8.22E-08,-0.0048079,1.32E-05
8.22E-08,-0.0047268,1.43E-05
8.22E-08,-0.0046334,1.42E-05
8.22E-08,-0.004833,1.56E-05
8.23E-08,-0.0045985,1.73E-05
8.24E-08,-0.0036178,1.77E-05
8.22E-08,-0.0021469,1.75E-05
8.20E-08,-4.93E-04,1.72E-05
8.21E-08,0.0011334,1.81E-05
8.19E-08,0.0026591,1.70E-05
8.19E-08,0.0036653,1.56E-05
8.19E-08,0.0044426,1.38E-05
8.19E-08,0.0048298,1.54E-05
8.19E-08,0.0043896,1.53E-05
8.19E-08,0.0032894,1.47E-05
8.17E-08,0.0013469,1.27E-05
8.17E-08,-0.0012278,1.44E-05
8.20E-08,-0.0041307,1.58E-05
8.15E-08,-0.0069947,1.56E-05
8.13E-08,-0.0091914,1.47E-05
8.13E-08,-0.010428,1.43E-05
8.13E-08,-0.01087,1.37E-05
8.14E-08,-0.010278,1.50E-05
8.15E-08,-0.0090263,1.37E-05
8.18E-08,-0.00686,1.33E-05
8.15E-08,-0.0039933,1.16E-05
8.15E-08,-0.0011217,1.15E-05
8.17E-08,0.0016809,1.10E-05
8.16E-08,0.0042782,1.13E-05
8.15E-08,0.0060863,1.01E-05
8.14E-08,0.0068075,1.09E-05
8.14E-08,0.0073357,9.96E-06
8.14E-08,0.0069831,8.16E-06
8.17E-08,0.0053416,7.21E-06
8.18E-08,0.0025021,6.64E-06
8.18E-08,-0.0011754,6.13E-06
8.22E-08,-0.0042053,6.92E-06
8.19E-08,-0.0063801,7.74E-06
8.19E-08,-0.0078227,8.88E-06
8.19E-08,-0.0084393,1.01E-05
8.19E-08,-0.0086281,8.93E-06
8.19E-08,-0.0080596,9.11E-06
8.19E-08,-0.0065565,7.31E-06
8.16E-08,-0.0046664,7.36E-06
8.14E-08,-0.0025611,7.50E-06
8.16E-08,-1.52E-04,7.92E-06
8.16E-08,0.0019898,6.23E-06
8.15E-08,0.0034172,6.26E-06
8.15E-08,0.0038023,8.24E-06
8.15E-08,0.0036666,8.08E-06
8.15E-08,0.0032691,6.96E-06
8.15E-08,0.0032125,4.48E-06
8.15E-08,0.0033652,2.61E-06
8.16E-08,0.0031684,1.95E-06
8.15E-08,0.0030365,2.13E-06
8.15E-08,0.0028135,3.69E-06
8.14E-08,0.0014864,4.90E-06
8.14E-08,-7.33E-04,3.34E-06
8.14E-08,-0.0020844,4.69E-07
8.13E-08,-0.0023956,4.06E-07
8.13E-08,-0.00229,2.51E-07
8.14E-08,-0.0021135,-1.79E-07
8.13E-08,-0.0014427,-2.09E-06
8.13E-08,-4.58E-04,-1.40E-06
8.14E-08,5.96E-04,-1.74E-06
8.15E-08,0.0021772,-4.00E-06
8.17E-08,0.0033587,-2.64E-06
8.17E-08,0.0028705,-2.51E-06
8.15E-08,0.0012642,-3.57E-06
8.16E-08,-5.09E-04,-4.08E-06
8.14E-08,-0.002103,-5.02E-06
8.14E-08,-0.0032714,-5.79E-06
8.14E-08,-0.00448,-4.28E-06
8.15E-08,-0.0055185,-2.74E-06
8.15E-08,-0.0054251,-1.26E-06
8.15E-08,-0.0048479,-6.35E-07
8.15E-08,-0.0038396,-8.92E-08
8.17E-08,-0.0023373,-1.54E-07
8.16E-08,6.82E-06,-1.93E-08
8.18E-08,0.0025824,1.49E-06
8.18E-08,0.0053077,2.74E-06
8.13E-08,0.0084827,2.58E-06
8.11E-08,0.011067,1.45E-06
8.10E-08,0.013137,7.85E-08
8.11E-08,0.014253,2.22E-07
8.11E-08,0.013744,-7.23E-07
8.11E-08,0.012194,-2.20E-06
8.17E-08,0.0091477,-2.63E-06
8.19E-08,0.0052789,-1.59E-06
8.17E-08,0.0014362,-2.23E-06
8.15E-08,-0.0023529,-3.80E-06
8.14E-08,-0.005387,-3.75E-06
8.12E-08,-0.0078638,-2.19E-06
8.11E-08,-0.0094633,-2.76E-06
8.11E-08,-0.0096521,-3.30E-06
8.11E-08,-0.0089009,-5.04E-06
8.12E-08,-0.007687,-5.47E-06
8.09E-08,-0.0060089,-5.64E-06
8.13E-08,-0.0034647,-6.23E-06
8.15E-08,-7.43E-04,-5.18E-06
8.18E-08,0.001436,-4.74E-06
8.16E-08,0.0032755,-3.75E-06
8.14E-08,0.0047924,-1.99E-06
8.14E-08,0.0061027,-3.99E-06
8.14E-08,0.0070019,-5.36E-06
8.14E-08,0.0069693,-5.21E-06
8.14E-08,0.0060302,-5.07E-06
8.13E-08,0.0049661,-5.09E-06
8.13E-08,0.0039165,-6.97E-06
8.13E-08,0.0028023,-8.10E-06
8.13E-08,0.0012798,-6.27E-06
8.13E-08,1.98E-04,-8.58E-06
8.12E-08,-7.42E-04,-7.12E-06
8.12E-08,-0.0020301,-7.75E-06
8.15E-08,-0.0033656,-8.74E-06
8.14E-08,-0.0047211,-9.71E-06
8.15E-08,-0.0057845,-1.02E-05
8.16E-08,-0.006354,-1.00E-05
8.16E-08,-0.0066039,-1.07E-05
8.16E-08,-0.0063405,-1.10E-05
8.17E-08,-0.0055546,-1.24E-05
8.20E-08,-0.0040341,-1.35E-05
8.19E-08,-0.0022363,-1.45E-05
8.23E-08,-3.31E-04,-1.56E-05
8.20E-08,0.0017707,-1.57E-05
8.19E-08,0.0038486,-1.43E-05
8.18E-08,0.005685,-1.19E-05
8.17E-08,0.0068496,-1.03E-05
8.17E-08,0.0070704,-9.26E-06
8.17E-08,0.006876,-9.00E-06
8.17E-08,0.0064789,-8.56E-06
8.17E-08,0.0055998,-9.35E-06
8.20E-08,0.004217,-1.00E-05
8.20E-08,0.0030369,-8.00E-06
8.22E-08,0.0016557,-7.80E-06
8.22E-08,2.80E-04,-6.09E-06
8.21E-08,-0.0010679,-3.93E-06
8.23E-08,-0.0023015,-2.52E-06
8.23E-08,-0.0029792,-4.49E-06
8.22E-08,-0.0029513,-5.29E-06
8.24E-08,-0.0019253,-6.08E-06
8.24E-08,-0.0013597,-4.13E-06
8.24E-08,-0.0011764,-2.73E-06
8.25E-08,-9.06E-04,-3.10E-06
8.25E-08,-0.0012026,-1.52E-06
8.24E-08,-0.0018003,-6.18E-07
8.23E-08,-0.0016005,2.37E-07
8.24E-08,-7.41E-04,5.76E-07
8.24E-08,8.53E-05,2.23E-07
8.25E-08,7.98E-04,1.31E-07
8.25E-08,5.55E-04,1.14E-06
8.25E-08,-6.54E-05,5.57E-07
8.25E-08,-7.86E-04,8.93E-07
8.23E-08,-0.0017858,1.49E-06
8.23E-08,-0.0027378,3.96E-06
8.23E-08,-0.0035672,2.75E-06
8.22E-08,-0.0034913,1.02E-06
8.22E-08,-0.0029449,1.84E-06
8.22E-08,-0.0023934,4.67E-06
8.22E-08,-0.0018703,5.35E-06
8.22E-08,-0.0016141,7.51E-06
8.22E-08,-0.0014431,5.32E-06
8.22E-08,-9.59E-04,5.02E-06
8.23E-08,1.12E-04,6.25E-06
8.23E-08,0.0019423,6.56E-06
8.24E-08,0.0037158,4.50E-06
8.23E-08,0.0051752,2.69E-06
8.23E-08,0.0065704,1.04E-06
8.23E-08,0.0073522,1.71E-06
8.23E-08,0.0073563,3.50E-08
8.23E-08,0.0068654,1.40E-06
8.25E-08,0.0058717,1.72E-06
8.26E-08,0.0045362,1.63E-06
8.25E-08,0.0033059,1.54E-06
8.26E-08,0.0024406,1.78E-06
8.25E-08,0.0012662,3.55E-06
8.27E-08,-5.06E-04,3.75E-06
8.28E-08,-0.0018917,5.30E-06
8.28E-08,-0.0030791,3.83E-06
8.29E-08,-0.0040757,4.76E-06
8.29E-08,-0.0043222,3.00E-06
8.28E-08,-0.0038848,1.82E-06
8.28E-08,-0.0026643,1.50E-06
8.27E-08,-0.0011092,1.57E-06
8.28E-08,6.62E-04,3.99E-06
8.26E-08,0.0021816,5.12E-06
8.24E-08,0.0033779,5.40E-06
8.25E-08,0.0040289,4.70E-06
8.25E-08,0.0039652,3.53E-06
8.24E-08,0.003626,2.84E-06
8.24E-08,0.0035972,3.25E-06
8.25E-08,0.0032858,5.86E-07
8.25E-08,0.0021403,1.72E-06
8.26E-08,0.0012256,4.78E-07
8.25E-08,5.15E-04,1.02E-06
8.26E-08,1.53E-05,3.10E-06
8.26E-08,-2.74E-04,3.74E-06
8.26E-08,-8.05E-04,4.94E-06
8.25E-08,-0.0015854,4.27E-06
8.25E-08,-0.0023992,3.88E-06
8.25E-08,-0.0029286,5.08E-06
8.25E-08,-0.0027075,7.47E-06
8.25E-08,-0.0014544,5.52E-06
8.24E-08,5.27E-04,6.28E-06
8.23E-08,0.0024054,7.88E-06
8.24E-08,0.0041533,7.14E-06
8.25E-08,0.005139,6.63E-06
8.24E-08,0.0048246,5.58E-06
8.25E-08,0.0034254,4.56E-06
8.22E-08,0.0012888,3.15E-06
8.21E-08,-0.0015135,2.73E-06
8.22E-08,-0.0044382,2.42E-06
8.23E-08,-0.0067739,1.06E-06
8.26E-08,-0.0089298,1.60E-06
8.27E-08,-0.01027,2.57E-06
8.27E-08,-0.010201,1.53E-06
8.28E-08,-0.0095065,1.64E-06
8.29E-08,-0.008378,5.37E-07
8.29E-08,-0.0067881,-4.79E-08
8.29E-08,-0.0052427,-2.20E-06
8.30E-08,-0.0036594,-1.20E-06
8.28E-08,-0.0021654,1.17E-07
8.29E-08,-0.0013647,-1.38E-07
8.29E-08,-0.0010745,-2.62E-06
8.28E-08,-3.79E-04,-2.30E-06
8.28E-08,8.34E-04,-1.08E-06
8.28E-08,0.0016769,-3.36E-06
8.29E-08,0.0020915,-6.11E-06
8.29E-08,0.0024234,-4.54E-06
8.29E-08,0.0027348,-3.94E-06
8.28E-08,0.0022369,-4.58E-06
8.31E-08,9.00E-04,-5.15E-06
8.31E-08,-2.03E-04,-4.17E-06
8.30E-08,-0.0015544,-5.05E-06
8.30E-08,-0.0031324,-4.87E-06
8.29E-08,-0.0046671,-6.38E-06
8.30E-08,-0.006056,-4.60E-06
8.30E-08,-0.0070666,-4.72E-06
8.30E-08,-0.0072413,-6.23E-06
8.30E-08,-0.0064113,-4.75E-06
8.32E-08,-0.0045927,-3.47E-06
8.31E-08,-0.0020937,-5.60E-06
8.26E-08,3.74E-04,-5.80E-06
8.25E-08,0.0028676,-7.39E-06
8.25E-08,0.0055718,-9.93E-06
8.24E-08,0.0081767,-8.62E-06
8.23E-08,0.0099994,-9.09E-06
8.24E-08,0.010833,-1.25E-05
8.24E-08,0.010926,-1.01E-05
8.24E-08,0.010353,-9.02E-06
8.24E-08,0.0094713,-1.04E-05
8.25E-08,0.008398,-1.08E-05
8.23E-08,0.006743,-1.18E-05
8.26E-08,0.0041589,-1.12E-05
8.28E-08,9.84E-04,-1.19E-05
8.29E-08,-0.0023036,-1.16E-05
8.33E-08,-0.0050234,-1.17E-05
8.34E-08,-0.0066549,-1.24E-05
8.34E-08,-0.007264,-1.24E-05
8.34E-08,-0.0077726,-1.21E-05
8.34E-08,-0.0073652,-1.47E-05
8.35E-08,-0.0052707,-1.28E-05
8.36E-08,-0.0022407,-1.15E-05
8.35E-08,0.001032,-1.14E-05
8.35E-08,0.0035126,-1.24E-05
8.36E-08,0.0051285,-1.37E-05
8.37E-08,0.0058378,-1.35E-05
8.37E-08,0.0061363,-1.49E-05
8.37E-08,0.0063438,-1.64E-05
8.37E-08,0.0062,-1.73E-05
8.37E-08,0.0056783,-1.70E-05
8.36E-08,0.0044923,-1.79E-05
8.34E-08,0.0028445,-1.67E-05
8.36E-08,0.0011155,-1.68E-05
8.37E-08,-0.0010952,-1.63E-05
8.39E-08,-0.0038314,-1.74E-05
8.35E-08,-0.0062811,-1.64E-05
8.34E-08,-0.0084061,-1.69E-05
8.33E-08,-0.0096179,-1.87E-05
8.33E-08,-0.0096403,-1.64E-05
8.32E-08,-0.0087427,-1.67E-05
8.30E-08,-0.0067109,-1.67E-05
8.33E-08,-0.0035563,-1.74E-05
8.32E-08,-2.30E-04,-1.79E-05
8.33E-08,0.0030918,-1.51E-05
8.36E-08,0.0062068,-1.59E-05
8.36E-08,0.0090058,-1.67E-05
8.34E-08,0.010627,-1.74E-05
8.34E-08,0.010685,-1.62E-05
8.34E-08,0.0097261,-1.33E-05
8.31E-08,0.007679,-1.21E-05
8.28E-08,0.0046327,-1.07E-05
8.27E-08,8.12E-04,-8.92E-06
8.34E-08,-0.0028878,-8.71E-06
8.33E-08,-0.0057194,-6.10E-06
8.35E-08,-0.0076298,-4.55E-06
8.36E-08,-0.0084654,-5.86E-06
8.36E-08,-0.0084603,-4.67E-06
8.35E-08,-0.0076224,-5.25E-06
8.38E-08,-0.0059931,-6.11E-06
8.37E-08,-0.0040387,-8.16E-06
8.37E-08,-0.0024998,-8.73E-06
8.36E-08,-0.0011684,-7.39E-06
8.36E-08,-2.36E-04,-6.45E-06
8.36E-08,-2.25E-04,-8.46E-06
8.35E-08,-7.89E-04,-8.73E-06
8.35E-08,-0.001024,-6.77E-06
8.34E-08,-5.66E-04,-7.52E-06
8.35E-08,4.21E-04,-6.49E-06
8.35E-08,9.51E-04,-4.41E-06
8.36E-08,0.0015159,-4.54E-06
8.36E-08,0.0023056,-5.99E-06
8.37E-08,0.0021545,-7.44E-06
8.38E-08,0.0012749,-6.95E-06
8.37E-08,5.07E-04,-7.09E-06
8.38E-08,-2.43E-04,-7.54E-06
8.38E-08,-8.87E-04,-6.39E-06
8.38E-08,-0.0016459,-5.65E-06
8.38E-08,-0.0023564,-6.38E-06
8.38E-08,-0.0027688,-8.05E-06
8.38E-08,-0.0025057,-8.92E-06
8.37E-08,-0.0018553,-8.08E-06
8.36E-08,-6.89E-04,-1.10E-05
8.36E-08,2.32E-04,-1.11E-05
8.37E-08,6.95E-04,-1.02E-05
8.37E-08,0.0012151,-1.13E-05
8.37E-08,0.0014429,-1.30E-05
8.37E-08,0.0017778,-1.30E-05
8.38E-08,0.0021896,-1.10E-05
8.39E-08,0.0028923,-1.18E-05
8.39E-08,0.0035637,-1.13E-05
8.38E-08,0.0042249,-1.21E-05
8.38E-08,0.0046514,-1.41E-05
8.38E-08,0.0043476,-1.41E-05
8.36E-08,0.0031124,-1.43E-05
8.36E-08,0.0012315,-1.31E-05
8.37E-08,-8.22E-04,-1.47E-05
8.34E-08,-0.0028761,-1.48E-05
8.34E-08,-0.0050353,-1.43E-05
8.33E-08,-0.0062741,-1.53E-05
8.33E-08,-0.0064818,-1.50E-05
8.33E-08,-0.0063841,-1.55E-05
8.33E-08,-0.0059507,-1.55E-05
8.34E-08,-0.004626,-1.51E-05
8.35E-08,-0.0024551,-1.54E-05
8.35E-08,-6.67E-04,-1.48E-05
8.34E-08,2.61E-04,-1.40E-05
8.35E-08,9.38E-04,-1.21E-05
8.35E-08,0.0018055,-1.20E-05
8.35E-08,0.0024735,-9.56E-06
8.34E-08,0.00287,-8.23E-06
8.34E-08,0.0032289,-6.96E-06
8.34E-08,0.0033085,-5.68E-06
8.34E-08,0.0032099,-5.25E-06
8.34E-08,0.0035438,-6.71E-06
8.35E-08,0.0042611,-8.12E-06
8.34E-08,0.0045697,-5.71E-06
8.34E-08,0.0042383,-5.65E-06
8.35E-08,0.0032218,-7.08E-06
8.35E-08,0.0023686,-4.70E-06
8.36E-08,0.001583,-5.72E-06
8.34E-08,2.77E-04,-5.91E-06
8.36E-08,-6.66E-04,-6.35E-06
8.36E-08,-4.72E-04,-5.02E-06
8.37E-08,8.70E-05,-3.28E-06
8.37E-08,2.70E-04,-4.24E-06
8.36E-08,-4.60E-05,-4.51E-06
8.37E-08,-4.47E-04,-5.82E-06
8.38E-08,-9.37E-04,-6.11E-06
8.38E-08,-0.0018502,-7.45E-06
8.39E-08,-0.0031258,-9.39E-06
8.40E-08,-0.0040483,-1.07E-05
8.39E-08,-0.0050183,-9.01E-06
8.39E-08,-0.0063537,-1.02E-05
8.41E-08,-0.0073246,-1.11E-05
8.41E-08,-0.0077885,-1.10E-05
8.41E-08,-0.0071182,-9.63E-06
8.41E-08,-0.0055788,-9.54E-06
8.42E-08,-0.0042607,-7.42E-06
8.43E-08,-0.0030827,-8.32E-06
8.45E-08,-0.0015933,-9.42E-06
8.45E-08,1.98E-04,-6.50E-06
8.43E-08,0.0024492,-4.73E-06
8.45E-08,0.0047188,-5.21E-06
8.44E-08,0.0058827,-3.91E-06
8.45E-08,0.0059869,-5.76E-06
8.44E-08,0.0054253,-3.54E-06
8.43E-08,0.0038951,-5.11E-06
8.43E-08,0.0022228,-3.17E-06
8.44E-08,5.43E-04,-3.45E-06
8.41E-08,-0.0014819,-4.35E-06
8.39E-08,-0.0034793,-4.86E-06
8.37E-08,-0.0047986,-4.29E-06
8.36E-08,-0.0053318,-3.75E-06
8.36E-08,-0.0056943,-2.31E-06
8.36E-08,-0.0056733,-3.28E-06
8.36E-08,-0.0047943,-1.30E-06
8.36E-08,-0.0036879,-2.79E-06
8.35E-08,-0.0025741,-1.86E-06
8.35E-08,-0.0010434,-8.45E-08
8.35E-08,0.0012222,-1.99E-06
8.32E-08,0.0041008,-4.42E-07
8.31E-08,0.0067553,-9.27E-07
8.32E-08,0.0086315,-1.94E-06
8.33E-08,0.0095518,-7.62E-07
8.34E-08,0.0095159,-1.57E-06
8.33E-08,0.0086168,-3.12E-06
8.32E-08,0.0067751,-4.58E-06
8.30E-08,0.0045343,-3.23E-06
8.30E-08,0.0024794,-5.95E-06
8.33E-08,4.88E-04,-4.14E-06
8.36E-08,-0.0017174,-4.79E-06
8.31E-08,-0.0041664,-4.95E-06
8.31E-08,-0.0064758,-3.84E-06
8.31E-08,-0.0082502,-2.43E-06
8.29E-08,-0.0090572,-2.95E-06
8.29E-08,-0.0089643,-1.76E-06
8.29E-08,-0.0089691,-2.72E-06
8.29E-08,-0.0084643,-5.97E-06
8.28E-08,-0.0070604,-5.77E-06
